epoch,loss,accuracy,precision,recall,prc,val_loss,val_accuracy,val_precision,val_recall,val_prc,lr
1,0.3771340847015381,0.5745018124580383,0.8803654313087463,0.24732035398483276,0.6251668334007263,0.6904208660125732,0.09125000238418579,0.6987951993942261,0.009062499739229679,0.11125334352254868,0.001
2,0.30106472969055176,0.7299026250839233,0.9235981702804565,0.42179951071739197,0.805890679359436,0.8237826824188232,0.07531250268220901,0.08449894934892654,0.06890624761581421,0.10367525368928909,0.001
3,0.27647116780281067,0.7920629382133484,0.9448708295822144,0.5087560415267944,0.8674975037574768,0.560915470123291,0.29078125953674316,0.3892248570919037,0.1106249988079071,0.2400248795747757,0.001
4,0.2579743266105652,0.8400890827178955,0.9610633850097656,0.5785024166107178,0.9115470051765442,0.30916690826416016,0.7176562547683716,0.921897292137146,0.4039062559604645,0.7897418141365051,0.001
5,0.2471352517604828,0.8682065010070801,0.9688469171524048,0.6250188946723938,0.9344556331634521,0.35977256298065186,0.5846874713897705,0.7248950600624084,0.35078126192092896,0.6243606209754944,0.001
6,0.2358168512582779,0.8983620405197144,0.9772384762763977,0.6732714176177979,0.9564535617828369,0.4762716293334961,0.4281249940395355,0.5584536790847778,0.1873437464237213,0.3815627098083496,0.001
7,0.22878994047641754,0.9163836240768433,0.9823179244995117,0.7034457921981812,0.9679926633834839,0.43709346652030945,0.48374998569488525,0.8011327981948853,0.19890624284744263,0.49239999055862427,0.001
8,0.22191692888736725,0.935443103313446,0.9878621101379395,0.7387341260910034,0.9788914918899536,0.3039695620536804,0.7354687452316284,0.8963619470596313,0.4581249952316284,0.793784499168396,0.001
9,0.21635322272777557,0.9502755403518677,0.9906339049339294,0.7664364576339722,0.9855160117149353,0.4812104403972626,0.4778124988079071,0.5092382431030273,0.24546875059604645,0.370695561170578,0.001
10,0.21145035326480865,0.9613715410232544,0.9936323761940002,0.7950633764266968,0.9910547137260437,0.3082317113876343,0.7315624952316284,0.8779931664466858,0.48124998807907104,0.7852612733840942,0.001
11,0.2065197378396988,0.97486412525177,0.99611496925354,0.8273701667785645,0.9951240420341492,0.35764750838279724,0.635937511920929,0.8949379324913025,0.2928124964237213,0.6875300407409668,0.001
12,0.20346862077713013,0.981468915939331,0.9975362420082092,0.8480902910232544,0.9968792200088501,0.3012952506542206,0.7306249737739563,0.8569051623344421,0.4828124940395355,0.7490407824516296,0.001
13,0.2016024887561798,0.9843372702598572,0.9977235794067383,0.8601675629615784,0.9977225661277771,0.3854345381259918,0.5896875262260437,0.8014649152755737,0.32484376430511475,0.6099503636360168,0.001
14,0.19920413196086884,0.9890171885490417,0.9987989068031311,0.8787741661071777,0.9987540245056152,0.2952837646007538,0.7596874833106995,0.898383378982544,0.48625001311302185,0.806821882724762,0.001
15,0.19745159149169922,0.9903570413589478,0.9991539716720581,0.891474187374115,0.9992370009422302,0.3255600333213806,0.6957812309265137,0.8689528703689575,0.44343748688697815,0.7435393929481506,0.001
16,0.19606830179691315,0.9928479790687561,0.9991851449012756,0.9024381041526794,0.9993848204612732,0.3354959785938263,0.6832812428474426,0.8984935283660889,0.39140623807907104,0.7420661449432373,0.001
